2383,9,1.06173,1
2410,12,0.99148,2
3773,32,0.99075,3
2376,7,0.94253,4
3865,34,0.85248,5
4414,36,0.84611,6
3720,26,0.83865,7
3751,28,0.83341,8
3426,21,0.81765,9
1874,3,0.7263,10
3673,24,0.7204,11
2477,16,0.71932,12
3451,22,0.71741,13
4673,40,0.71479,14
3945,35,0.7077,15
2295,4,0.70227,16
2380,8,0.70157,17
4418,37,0.69872,18
2411,13,0.69783,19
2322,5,0.69235,20
2393,10,0.69135,21
1522,2,0.6822,22
4430,39,0.68039,23
2449,15,0.68026,24
3698,25,0.67186,25
4423,38,0.67164,26
2397,11,0.6712,27
3736,27,0.66969,28
3770,31,0.66966,29
2363,6,0.6688,30
2480,17,0.66841,31
827,1,0.66138,32
2826,18,0.6592,33
3843,33,0.65851,34
3767,30,0.65726,35
3422,20,0.65584,36
3498,23,0.65532,37
2422,14,0.6538,38
3762,29,0.65363,39
2883,19,0.65352,40
